cid,server_round,elapsed
C,1,0.6961749869999494
C,2,0.6754712689998996
C,3,0.6774563980000039
C,4,0.577382777000139
C,5,0.5761984880000455
C,6,0.5736362760001157
C,7,0.5780359319999206
C,8,0.5769722309998997
C,9,0.5790551340001002
C,10,0.6566249180000341
C,11,0.5662822790000064
C,12,0.5663633820001905
C,13,0.567201488000137
C,14,0.5711152760000004
C,15,0.570415986000171
C,16,0.576529753999921
C,17,0.6581692460001705
C,18,0.5735354630000984
C,19,0.5768157229999815
C,20,0.5743894510001155
